"°íÀ¯¹øÈ£","¾ğ¾î","»óÈ£¸í","ÄÜÅÙÃ÷URL","ÁÖ¼Ò","½ÅÁÖ¼Ò","ÀüÈ­¹øÈ£","ÆÑ½º¹øÈ£","À¥»çÀÌÆ®","¿î¿µ½Ã°£","¿î¿µ¿äÀÏ","ÈŞ¹«ÀÏ","±³ÅëÁ¤º¸","ÅÂ±×","Àå¾ÖÀÎÆíÀÇ½Ã¼³"
"1308","en","Yongsan Park","https://english.visitseoul.net/attractions/YongsanPark/ENP001306?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP001306","140-026 68-90, Yongsan-dong 6(yuk)-ga, Yongsan-gu, Seoul, Korea ","04383 185, Seobinggo-ro, Yongsan-gu, Seoul, Korea (¿ë»ê°ø¿ø) ","+82	02-792-5661","","	http://munha.yongsan.go.kr/pms/contents/contents.do?contseqn=1018&sitecdv=S0000701&decorator=user07Ct&menucdv=01020200","11:00 ~ 21:30  11 a.m. - 3:30 p.m., 5 p.m. - 9:30 p.m.","	Monday Tuesday Wednesday Thursday Friday Saturday Sunday","	Sundays, national holidays.","	Jungang Line Seobinggo Stn. 500m from Exit 1    Line 4 Ichon Stn. 300m from Exit 2"," nature,park, historic site",""
"26001","zh-CN","Ê£ØüÛ®","https://chinese.visitseoul.net/attractions/Ê£Øü/CNP025929?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP025929","  ","03146 ?ÖØ?ìÒŞÑÔ×Ê¶48 ","+82-2-734-9289","","talbang.modoo.at","11:00-19:00","ñ²ìéò¸ñ²×¿","ñ²ìí","Ëå›°3??äÌÍÛó×6?õóÏ¢268Ú·","ÖÕïÁ, ìÒŞÑ?, ÙÊğ¤Íï?ù¡, ??÷²?, ú­ùÁ÷²?, ÙÊğ¤Íï?ù¡, ß£ï£÷²?, ??Íï?ù¡",""
"11120","zh-CN","İÁä¿ÍÔÊ­ÖØø¢ÊÇïÍ","https://chinese.visitseoul.net/attractions/İÁä¿ÍÔÊ­ÖØø¢ÊÇïÍ/CNP011117?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP011117","110-012 âÏ?ã¼?ÖØ?øÁ?Ô×6-17 ","110-012 âÏ?ã¼?ÖØ?İÁä¿ß£ÖØ267 ","+82-2-725-6602","","http://bukak-palgakjeong.tistory.com/","11:00~23:00 ","","","1?? ?ÖØ5Ê¶ó×ã«08ÖØÍëÎß?£¬î¤Ù¥?3Ê¶ù»?","å¨ÌØ,İÁä¿ÍÔÊ­ÖØø¢ÊÇïÍ,í»æÔÍë?,ß¤ÜÆÖØ,ıÌ?",""
"27902","ja","İÁõ½(«×«¯«Á«ç«ó)ÙÊÍïéıÍïÛ®","https://japanese.visitseoul.net/attractions/bukchon-wood-workshop-jp/JPP027813?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP027813","  ","03057 ñ£ÖØ? «±«É«ó6«®«ë 12  ","+82-2-725-1061","","namoosory.modoo.at","ûı-÷Ï 10:00~17:00","ûı?÷Ï","êÅèøìí¡¢ìíèøìí","3?àÊäÌ??3ÛãõóÏ¢ª«ªé704m","ÙÊÍïéı, Íïéı, İÁõ½, İÁõ½ùÛè©õ½, î÷ãÆ,«ª«ì«¬«²(ÖÕ?), Íïéı??",""
"20624","zh-CN","?Ø¡ñéäçÚÏÚª? ?ÔÛÚÏÚª?","https://chinese.visitseoul.net/attractions/?Ø¡ñéäçÚÏÚª?-?ÔÛÚÏÚª?/CNP020547?utm_source=seoulopendata&utm_medium=attractions&utm_content=CNP020547","140-797 âÏ??ß£??ß£Ô×6Ê¶ 168-6 ","04383 âÏ??ß£?à¤??ÖØ 137 (?ß£Ô×6Ê¶, ?Ø¡ñéäçÚÏÚª?) ","+82-2-2077-9000","","http://www.museum.go.kr/site/child/home","10:00~18:00 *å¨??Û¯ (ØßêÅõÌı¨ìéñ²îÜñ²ß²) 18:30~19:30 (300Ù£) 19:30~21:00 (300Ù£) (KST) ","","êªÓ©¡¢õğ?¡¢ñéõÕ??ô¸ıÌãÓ","4?? ì£õ½ó×2?õóÏ¢ ÌÈ?ñéäç? ì£õ½ó×2?õóÏ¢","Ùşûù??,ÚÏÚª?,ÌØïÃ,?Ø¡ñéäçÚÏÚª?-?ÔÛÚÏÚª?,??,?ÔÛÚÏÚª?,î÷ãÆ,ì£õ½ó×,??",""
"44002","en","Apple House","https://english.visitseoul.net/attractions/2023024/ENPc29hhb?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPc29hhb","  "," 2F, 29 Dongjak-daero 27da-gil, Dongjak-gu, Seoul ","+82-2-595-1629","","","10:30~21:00","Daily","None","159 meters from Exit 10 of Chongshin Univercity (Isu) Station on Line 4?7","OraeGage, Sadang-dong, bunsik, Sundae Stir-fry, Fired Dumplings , Instant Tteokbokki",""
"25381","en","Eulji Dabang","https://english.visitseoul.net/attractions/Eulji-Coffee-Shop/ENP025376?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP025376","  ","04550 2F, 124-1 Eulji-ro, Jung-gu, Seoul ","+82-2-2272-1886","","","06:00 ~ 21:00","Daily","None","44 meters from Exit 10 of Euljiro 3-ga Station on Line 2?3","OraeGage, Cafe, Ramen, Euljiro 3-ga, Cold coffee,  Ssanghwa tea, Tearoom",""
"24808","en","Incheon Int'l Airport Terminal 2 Tourist Information Center","https://english.visitseoul.net/attractions/inchon-air-port-tour-information-kr-en/ENP024807?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP024807","400-722 2840 Unseo-dong, Jung-gu, Incheon ","22382 446 Je 2 terminal-daero, Jung-gu, Incheon 1F, Incheon Int¡¯l Airport Terminal 2 Arrival hall","+82-32-743-3269","","","07:00-22:00","","Open year round","- Incheon Int'l Airport Terminal 2 Station (Airport Railroad Line)","Incheon Int'l Airport Terminal 2 Tourist Information Center,Incheon Int'l Airport Terminal 2 Station,Tourist Information Center,Airport Terminal 2,Incheon Int'l Airport",""
"23532","ko","SeMA º¡Ä¿ ","https://korean.visitseoul.net/attractions/SeMAbunker/KOP023532?utm_source=seoulopendata&utm_medium=attractions&utm_content=KOP023532","150-010 ¼­¿ï ¿µµîÆ÷±¸ ¿©ÀÇµµµ¿ 2-6 ","07327 ¼­¿ï ¿µµîÆ÷±¸ ÀÇ»ç´ç´ë·Î ÁöÇÏ 101 (¿©ÀÇµµ¿ª) ","02-2124-8946","","https://sema.seoul.go.kr/","È­ - ±İ 10:00 - 20:00 Åä?°øÈŞÀÏ 10:00 - 19:00","È­ - ÀÏ","¸ÅÁÖ ¿ù¿äÀÏ ","5?9È£¼± ¿©ÀÇµµ¿ª 3¹ø Ãâ±¸¿¡¼­ 200m Á÷Áø ÈÄ ¿©ÀÇµµ °ø¿ø ¾Õ ±³Â÷·Î¿¡¼­ ¿ìÈ¸ÀüÇÏ¿© 200m Á÷Áø(µµº¸ 7ºĞ)","¼­¿ï½Ã¸³¹Ì¼ú°ü, ¿©ÀÇµµÈ¯½Â¼¾ÅÍ, ÁöÇÏº¡Ä¿, ¼­¿ï, SeMAº¡Ä¿, SeMABunker,¿©ÀÇµµ°ø¿ø, Àü½Ã,¼­¿ï¿©Çà,¹æ°øÈ£,ºñ¹Ğº¡Ä¿,º¹ÇÕ¹®È­¿¹¼ú°ø°£, º¡Ä¿, ¿ª»ç°¶·¯¸®, ¿©ÀÇµµ¿ª, ¿©ÀÇµµ",""
"43549","en","Ssangma Studio","https://english.visitseoul.net/attractions/2023057/ENPb4qyjm?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENPb4qyjm","  ","07327 81 Yeouinaru-ro, Yeongdeungpo-gu, Seoul ","+82-2-786-7800","","https://www.ssangma.net/","Mon-Fri 09:00~19:00, Sat 10:00~16:00","Mon~Sat","Sunday","420 meters from Exit 5 of Yeouido Station on Line 5?9","Certificate photo, Photo studio, Yeouido,OraeGage, Celebrity photo studio, Fashion photo, Profile photo",""
"27907","en","Yuil Oriental Medicine Clinic","https://english.visitseoul.net/attractions/Yuil-Oriental-Medicine-Clinic/ENP027814?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP027814","  ","03124 17-3 Yulgok-ro 30-gil, Jongno-gu, Seoul ","+82-2-742-5533","","futureheritage.seoul.go.kr/web/investigate/aroundHeritageView.do?htId=2230","09:30~17:30 (Break 13:00~14:30)","Monday through Friday","Weekends","192 meters from Exit 10 of Dongdaemun Station on Line 1?4","OraeGage, Hanbang, Herbal Medicine, Dongdaemun Station, Seoulfutureheritage, Jongno 5-ga, Hanbang Treatment",""
"24336","en","63 Building","https://english.visitseoul.net/attractions/hanwha-Hotels-Resorts-en/ENP024335?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP024335","150-763 60, Yeouido-dong, Yeongdeungpo-gu, Seoul ","07345 50, 63-ro, Yeongdeungpo-gu, Seoul ","+82-2-789-5559","","https://www.63art.co.kr/home/63ART/main.do","","","","[Take the 63 Square shuttle bus by each exit] * Subway Lines 5 & 9, Yeouido Station, Exit 5 * Subway Line 9, Saetgang Station, Exit 1 * Subway Line 5, Yeouinaru Station, Exit 4","63Square,YeouinaruStation,SeoulCityTourBus,SkyBus,CityTourBusStation,HanwhaHotelsResorts,TigerBus",""
"24119","en","Gallery Hyundai","https://english.visitseoul.net/attractions/Gallery-Hyundai-EN/ENP001694?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP001694","110-190 80, Sagan-dong, Jongno-gu, Seoul ","03062 14, Samcheong-ro, Jongno-gu, Seoul ","+82-2-2287-3500","","http://www.galleryhyundai.com/","Daily 10:00 - 18:00 ","","Closed Mondays","* Subway Line 3, Gyeongbokgung Station, Exit 5 (10-15 mins on foot) * Subway Line 3, Anguk Station, Exit 1 (10-15 mins on foot)","Food,Wine,Restaurant,AngukStation,Exhibition,GyeongbokgungStation,Gwanghwamun,Gallery,ModernArt,DuGaHeonGallery,Hanok,Art,GalleryHyundai",""
"28201","en","Koggiri","https://english.visitseoul.net/attractions/Kokkiri-Bunsik/ENP028053?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP028053","  "," 3 Dohwa 2-gil, Mapo-gu, Seoul ","+82-2-717-9061","","https://www.instagram.com/koggiri_mapo_line5/","09:30~21:00, last order 20:30","Daily","Closed on the 1st and 3rd Monday of every month","270 meters from Exit 3 of Mapo Station on Line 5","OraeGage, Mapo Tteokbokki Alley, Gongdeok, Fried Rice, bunsik, Instant Tteokbokki",""
"5205","en","Uireung","https://english.visitseoul.net/attractions/Uireung/ENP005205?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP005205"," 409, Seokgwan 1(il)-dong, Seongbuk-gu, Seoul ","02789 146-37, Hwarang-ro 32-gil, Seongbuk-gu, Seoul ","+82-2-964-0579","","http://www.heritage.go.kr/heri/cul/culSelectDetail.do?pageNo=1_1_1_1&ccbaCpno=1331102040000#","  * February - May & September - October 09:00 - 18:00 KST (Ticket office closes at 17:00 KST) * June - August 09:00 - 18:30 KST(Ticket office closes at 17:30 KST) * November - January 09:00 - 17:30 KST (Ticket office closes at 16:30 KST)","","Closed Mondays","* Subway Line 6, Dolgoji Station, Exit 7 (15 mins on foot)  * Subway Line 1, Sinimun Station, Exit 1 (15 mins on foot)","Uireung,TouristDestination,SinimunStation,UNESCOWorldHeritageSite,History,HistoricSite,Tomb,QueenSeonui,Seongbuk,DolgojiStation",""
"43647","ja","«·«ó«Õ«óßÂ?","https://japanese.visitseoul.net/attractions/2023054/JPP8fihkt?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP8fihkt"," «½«¦«ë çµÔôøİ? Ùş?Ô×3Ê¶ 54-34 ","07299 çµÔôøİ? «È«ê«à«í126«®«ë 1 ","+82-2-2676-4458","","","06:00~23:00","?ìí","ªÊª·","2?àÊÙş??7ÛãõóÏ¢ª«ªé517m","«ª«ì«¬«²(ÖÕ?), «¹?«Ñ?, çµÔôøİ, Ùş?óÜíÂõ½, ÊÛ?ªªªÄªŞªß, «¬«Ş«Ã«¯, Ùş??Íï?ò¢, Ùş?Ô×",""
"11863","en","Incheon International Airport Terminal 1 Tourist Information Center (East)","https://english.visitseoul.net/attractions/Seoul-Tourism-Information-Center--Incheon-International-Airport/ENP011863?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP011863","400-722 2840, Unseo-dong, Jung-gu, Incheon ","22382 272, Gonghang-ro, Jung-gu, Incheon 1F Arrival hall Gate #5, Incheon International Airport ","+82-32-743-3270","","","Hours: 07:00 - 22:00 / Break time: 11:00~12:00","","Open year round","Incheon Int'l Airport Station (Airport Railroad Line) exit 1","Airport,Tourist Info,Tourist Information Center,Free WiFi,Incheon International Airport,Discover Seoul Pass,Seoul Tourism Information Center,Incheon,Travel,Tourism",""
"478","en","Unhyeongung Palace","https://english.visitseoul.net/attractions/UnhyeongungPalace/ENP000471?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP000471","110-350 114-10, Unni-dong, Jongno-gu, Seoul ","03131 464, Samil-daero, Jongno-gu, Seoul ","+82-2-766-9090","","https://www.unhyeongung.or.kr/en/","Daily 09:00 - 19:00 KST (Last entry 18:30 KST ) *Closed Mondays*","","Closed Mondays  * Open on Mondays falling on public holidays","Subway Line 3, Anguk Station, Exit 4 (1 min on foot) Subway Line 5, Jongno 3-ga Station, Exit 5 (4 mins on foot)","SeoulExcursion,SeoulWalkingCourse,SeoulAttractions,UnhyeongungPalace,SeoulPalaces,Jongmyo,Seoul,SeoulTravel,SeoulDateCourse,KoreanPalaces,SeoulNationalPalaceTour","Accessible Restrooms,Accessible Pathways"
"4202","en","Wongudan Altar","https://english.visitseoul.net/attractions/Wongudan-Altar/ENP004198?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP004198","100-070 87-1, Sogong-dong, Jung-gu, Seoul ","100-070 106, Sogong-ro, Jung-gu, Seoul ","+82-2-3396-5880","","","Daily 07:00 - 21:00","","","* Subway Line 2, Euljiro 1(il)-ga Station, Exit 8 * Subway Lines 1 & 2, City Hall Station, Exit 6 ","Euljiro1(il)-gaStation,Gwanghwamun,CityHallStation,HwangudanAltar,WongudanAltar,JoseonHotel,HistoricSite",""
"37281","ja","«½«Ã«Ñ«¸«ç«ó(à´÷çïÍ)","https://japanese.visitseoul.net/attractions/«½«Ã«Ñ«¸«ç«ó/JPP037164?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP037164"," «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«×«¢«à«É«ó(Üõ?Ô×) 201 ","03021 «½«¦«ëã¼«Á«ç«ó«Î(ñ£ÖØ)?«Á«ã«ó«¦«£«à«ó«í11«®«ë4-1 ","+82-2-395-0100","","https://seoulmuseum.org/INTRO","11:00-17:00 (16:00 ìıíŞôóï·)","â©-ìí","êÅ¡¢ûı (¡Ø?İ»ÍïŞÀĞàªÓó­Ñ¢î÷ãÆªÎª¿ªá¡¢02/26?05/31ıÌåö)","","ïÔê®,?ŞÈ«¹«İ«Ã«È,Ú¸âú,Ú¸âúÎ½,«½«Ã«Ñ«¸«ç«ó",""
"1911","ja","«½«ó«´«¯(àıÍÛ)Ú¸âúÎ½","https://japanese.visitseoul.net/attractions/sungkok-art-museum-jp/JPP001907?utm_source=seoulopendata&utm_medium=attractions&utm_content=JPP001907","110-062 «½«¦«ëã¼ñ£ÖØ?ãæÚ¦ÖØ2Ê¶ 1-101","110-062 «½«¦«ëã¼«Á«ç«ó«Î(ñ¤ÖØ)?«­«ç«ó«Ò«°«ó«®«ë42 (ãæÚ¦ÖØ2Ê¶)","+82-2-737-7650","","http://www.sungkokmuseum.org","ûıèøìí?÷Ïèøìí10:00-18:00 (KST) ìıíŞªÏ17:30ªŞªÇ (KST)","","ìíèøìí¡¢êÅèøìí¡¢õæìí","ò¢ù»?3?àÊ¡¸«­«ç«ó«Ü«Ã«¯«ó(ïÙİ¤«½«¦«ë??)¡¹?7ÛãõóÏ¢ªèªê«µ«¸«¯(ŞäòÃ)«È«ó«Í«ëÛ°ú¾ªË400mòÁòä¡¢«¯«¡«ó«Õ«¡«à«ó(ÎÃûùÚ¦)«¹«Ú?«¹«Ü«ó«¢«Ñ?«ÈªÎñ§ö°ªÎ÷×ªêªò200mòÁòä  5?àÊ «¯«¡«ó«Õ«¡«à«ó 7ÛãõóÏ¢ª«ªéà¤ÓŞÚ¦(«½«Ç«à«ó)Û°ú¾ªËòäªß¡¢Ï­á¦ÏÚ?Î½(«¯«»«°«ó«Õ«§«°«¡«ó)ªÈ«½«¦«ë?ŞÈÚÏÚªÎ½ªÎÊàªÎÖØò¢ªò400mòÁòä  ","Ú¸âúÎ½,ùÛ?«¢?«È«®«ã«é«ê?,«««Õ«§,å¯èâğÁÊ¾Íëê®,î÷ãÆ,àıÍÛÚ¸âúÎ½,Ú¸âú,ÎÃûùÚ¦,ÑÑà÷ÍŞ,éıâú¡¤«¢?«È",""
"42353","en","ChoiManLin Museum","https://english.visitseoul.net/attractions/ChoiManLin-Museum/ENP042352?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP042352","  ","02708 23, Solsaem-ro 7-gil, Seongbuk-gu, Seoul ","02-6952-5016","","https://sma.sbculture.or.kr/cml","Daily 10:00 ~ 18:00","","Closed Sundays & Mondays","","ChoiManLin Museum",""
"24094","en","Wonhyoro Catholic Church","https://english.visitseoul.net/attractions/Wonhyoro-Catholic-Church/ENP001862?utm_source=seoulopendata&utm_medium=attractions&utm_content=ENP001862","140-850 1-1, Wonhyoro 4(sa)-ga, Yongsan-gu, Seoul ","04361 49, Wonhyo-ro 19-gil, Yongsan-gu, Seoul ","+82-2-701-5501","","http://songsim.org","Daily 09:00 - 17:00","","Hours may vary according to the school's schedule","* Subway Line 5, Mapo Station, Exit 4 (10 mins on foot) * Subway Line 6, Hyochang Park Station, Exits 3 & 4 (10 mins on foot)","Church,Yeouido,Yongsan,Cathedral,HistoricalSite,Wonhyoro,Catholic,HyochangParkStation,YongsanStation",""
